Quantity,Description,VALUE,Footprint,Designator,DNP,FUNCTION,MFT,MPN,RATING,Manufacturer,Manufacturer Part Number,LOAD,Resistance (Ohms),ALT MFT,ALT MFT1,ALT MFT2,ALT MPN,ALT MPN1,ALT MPN2,ALT_MPN1,TYPE
"1","RES SMD 47K OHM 5% 1/16W 0402","47k","R0402","R8","","Switch","Yageo","RC0402JR-0747KL","1/16W","","","","","","","","","","","","SMD"
"6","RES SMD 0.0OHM JUMPER 1/10W 0603","0.0","R0603","R9, R10, R15, R17, R24, R30","","Top, Energy Meter, gps","Vishay Dale","CRCW06030000Z0EA","0.1W, 1/10W","","","","","","","","","","","","Surface Mount"
"1","RES SMD 43K OHM 1% 1/16W 0402","43k","RESC1005X40N","R11","","JN5169 MOD","Yageo","RC0402FR-0743KL","1/16W","","","","","","","","","","","","SMD"
"3","RES SMD 750 OHM 1% 1/10W 0603","750","R0603","R12, R16, R18","","Energy Meter","Vishay Dale","CRCW0603750RFKEA","1/10W","","","","","","","","","","","","SMD"
"1","RES SMD 0.004 OHM 1% 3W 2512","","R2512","R13","","Energy Meter","","","","Bourns Inc.","CRE2512-FZ-R004E-3","","0.004","","","","","","","",""
"1","RES SMD 47K OHM 1% 1/16W 0402","47k","R0402","R14","","JN5169 MOD","Yageo","RC0402FR-0747KL","1/16W","","","","","","","","","","","","SMD"
"1","RES SMD 0.0OHM JUMPER 1/16W 0402","0.0","R0402","R19","","Jennic Top blk","Vishay Dale","CRCW04020000Z0ED","63mW","","","","","","","","","","","","Surface Mount"
"1","RES SMD 1.5K OHM 1% 1/16W 0402","1.5k","RESC1005X40N","R20","","JN5169 MOD","Yageo","RC0402FR-071K5L","1% 1/16W","","","","","","","","","","","","SMD"
"3","RES SMD 1.2K OHM 1% 1/16W 0402","1.2k","RESC1005X40N","R21, R31, R32","","JN5169 MOD, Energy Meter","Yageo","RC0402FR-071K2L","1/16W","","","","","","","","","","","","SMD"
"2","RES SMD 820K OHM 1% 1/4W 1206","820k","R1206","R26, R27","","Energy Meter","Vishay Dale","CRCW1206820KFKEA","1/4W","","","","","","","","","","","","SMD"
"1","RES SMD 330K OHM 1% 1/4W 1206","330k","R1206","R28","","Energy Meter","Vishay Dale","CRCW1206330KFKEA","1/4W","","","","","","","","","","","","SMD"
"2","RES SMD 10K OHM 1% 1/16W 0603","10k","R0603","R29, R56","","Power Supply","Panasonic Electronic Components","ERJ-3EKF1002V","0.063W","","","","","","","","","","","","SMD"
"6","RES SMD 330 OHM 1% 1/16W 0402","330","R0402","R33, R36, R37, R41, R54, R55","","Energy Meter, I2C Devices","Vishay Dale","CRCW0402330RFKED","1/16W","","","","","","","","","","","","SMD"
"4","RES SMD 1K OHM 1% 1/10W 0402","1k","R0402","R44, R51, R52, R53","","I2C Devices","Vishay Beyschlag","MCS04020C1001FE000","1/10W","","","","","","","","","","","","SMD"
"2","RES SMD 1K OHM 1% 1/10W 0402","1k","R0402","R46, R47","","gps","Panasonic Electronic Components","ERJ-2RKF1001X","0.1W, 1/10W","","","DNP","","","","","","","","","Surface Mount"
"1","RES 24K OHM 0.1% 1/8W 0603","24k","R0603","R48","","Analog Inputs","Vishay Dale","TNPW060324K0BEEA","1/8W","","","","","","","","","","","","SMD"
"3","RES SMD 5.6K OHM 0.1% 1/10W 0603","5.6k","R0603","R49, R602, R606","","Analog Inputs","Panasonic Electronic Components","ERA-3AEB562V","1/10W","","","","","","","","","","","","SMD"
"1","RES 100 OHM 5% 1/4W 1206","100","R1206","R57","","Energy Meter","Stackpole Electronics","RMCF1206JT100R","1/4W","","","","","","","","","","","","SMD"
"1","RES SMD 10K OHM 1% 1/10W 0402","10k","R0402","R108","","analog outputs","Panasonic Electronic Components","ERJ-2RKF1002X","0.1W, 1/10W","","","","","","","","","","","","Surface Mount"
"1","RES SMD 100K OHM 1% 1/10W 0402","100k","R0402","R401","","Power Supply","Panasonic Electronic Components","ERJ-2RKF1003X","0.1W, 1/10W","","","","","","","","","","","","Surface Mount"
"1","RES SMD 68K OHM 0.1% 1/10W 0603","68k","R0603","R601","","Analog Inputs","Panasonic Electronic Components","ERA-3AEB683V","1/10W","","","","","","","","","","","","SMD"
"1","RES SMD 24K OHM 0.1% 1/8W 0603","24k","R0603","R605","","Analog Inputs","Vishay Dale","TNPW060324K0BEEA","1/8W","","","","","","","","","","","","SMD"
"1","RES SMD 2.2K OHM 1% 1/10W 0603","2.2K","R0603","R802","","analog outputs","Vishay Dale","CRCW06032K20FKEA","","","","","","","","","","","","","SMD"
"1","RES SMD 1 OHM 1% 1/16W 0402","1","R0402","R806","","analog outputs","Vishay Dale","CRCW04021R00FKED","1/16W","","","","","","","","","","","","SMD"
"1","Shield","42-100017-01","42-100017-01(Shield)","SH1","","JN5169 MOD","TSC","42-100017-01","","","","","","","","","","","","","SMD"
"3","OPTOISOLATR 5KV TRANSISTOR 4-SOP","TCLT1003","SOP-4L","U1, U9, U10","","Energy Meter","Vishay Semiconductor Opto Division","TCLT1003","5KV","","","","","","LITEON","","","LTV1003-TP-V-G","","","SMD"
"1","IC OPAMP GP 1 CIRCUIT SOT25","AS321KTR-G1","SOT-23-5","U2","","analog outputs","Diodes Incorporated","AS321KTR-G1","","","","","","","","","","","","","SMD"
"2","IC GATE OR 1CH 2-INP 5TSSOP","74AHC1G32GW,125","SOT65P210X110-5N","U3, U11","","JN5169 MOD","Nexperia","74AHC1G32GW,125","","","","","","","","","","","","","SMD"
"1","IC RF FRONT END MOD 2.4GHZ 24QFN","SE2431L-R","QFN40P300X400X90-25N-D","U4","","JN5169 MOD","Skyworks","SE2431L-R","","","","","","","","","","","","","SMD"
"1","IC RF TXRX+MCU 802.15.4 40-VFQFN","JN5169/001Z","QFN50P600X600X100-41N","U5","","JN5169 MOD","NXP Semiconductors","JN5169/001Z","","","","","","","","","","","","","SMD"
